epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.29,1.3638,2.56365,1.309,0.65624,0.52176,0.54982,0.39396,1.10021,1.08343,1.12236,0.00328829,0.00328829,0.00328829
2,91.6587,1.09479,1.03381,1.08563,0.68176,0.54439,0.58019,0.3595,1.27995,1.19036,1.16615,0.0065954,0.0065954,0.0065954
3,127.377,1.13087,0.95183,1.08238,0.65718,0.44647,0.49745,0.32644,1.25019,1.4933,1.16802,0.00987611,0.00987611,0.00987611
4,161.661,1.15836,0.93382,1.09708,0.62079,0.46624,0.51866,0.35098,1.23719,2.18624,1.2164,0.0098812,0.0098812,0.0098812
5,197.109,1.11635,0.86882,1.08544,0.68511,0.59148,0.62896,0.42642,1.20986,1.29039,1.20026,0.0098416,0.0098416,0.0098416
6,231.213,1.08514,0.82655,1.07321,0.72536,0.576,0.6309,0.42303,1.13821,0.94926,1.10548,0.009802,0.009802,0.009802
7,265.052,1.0591,0.7878,1.06113,0.7844,0.6292,0.70107,0.50838,1.0618,1.074,1.08078,0.0097624,0.0097624,0.0097624
8,299.385,1.03294,0.76046,1.05087,0.86032,0.65165,0.73719,0.53599,1.04481,0.77746,1.06348,0.0097228,0.0097228,0.0097228
9,335.389,1.01407,0.73991,1.04558,0.88333,0.68649,0.76938,0.56891,0.99315,0.71264,1.05238,0.0096832,0.0096832,0.0096832
10,370.959,0.99889,0.71285,1.04074,0.88031,0.69987,0.7682,0.55415,1.00646,0.69632,1.06071,0.0096436,0.0096436,0.0096436
11,406.485,0.98521,0.70291,1.03503,0.83144,0.63796,0.71611,0.52877,1.15973,0.9365,1.16134,0.009604,0.009604,0.009604
12,441.167,0.96874,0.68806,1.03175,0.83449,0.66947,0.73725,0.53353,1.09694,0.81435,1.09413,0.0095644,0.0095644,0.0095644
13,476.845,0.95778,0.67055,1.02417,0.87426,0.70768,0.77912,0.5756,0.95807,0.69414,1.03049,0.0095248,0.0095248,0.0095248
14,512.051,0.95741,0.6668,1.02698,0.89986,0.71473,0.79337,0.59592,0.94579,0.64511,1.01824,0.0094852,0.0094852,0.0094852
15,547.341,0.93296,0.63972,1.01381,0.89474,0.71875,0.78823,0.59321,0.96875,0.66009,1.03676,0.0094456,0.0094456,0.0094456
16,582.967,0.93023,0.6376,1.01503,0.91203,0.74678,0.80755,0.61688,0.90983,0.60252,1.01393,0.009406,0.009406,0.009406
17,616.914,0.92473,0.6318,1.01144,0.90783,0.72167,0.80244,0.60924,0.94168,0.61263,1.02506,0.0093664,0.0093664,0.0093664
18,650.881,0.91773,0.62656,1.01053,0.91606,0.74102,0.816,0.62292,0.90042,0.57476,1.01388,0.0093268,0.0093268,0.0093268
19,685.083,0.90824,0.61891,1.00597,0.93915,0.7499,0.8227,0.63412,0.88511,0.54441,1.00873,0.0092872,0.0092872,0.0092872
20,719.935,0.90609,0.60733,1.00619,0.93723,0.74848,0.82411,0.63353,0.88931,0.55086,1.0023,0.0092476,0.0092476,0.0092476
21,754.227,0.89302,0.60148,1.00146,0.90384,0.75137,0.81591,0.61938,0.90087,0.57557,1.01776,0.009208,0.009208,0.009208
